"","name","url","rent","admin","deposit","key_money","shozaichi","ekitoho_1","ekitoho_2","ekitoho_3","floor_plan","floor_plan_detail","area","age","floor","muki","kouzou","lat","lng","details","flag_teikishakuya","rent_total","dist_nakanosakaue","flag_not_unitbath","flag_kado","flag_yokushitsu_kansou","flag_autolock","flag_takuhai","flag_3_konro","flag_2_konro","flag_onsui"
"1","メゾン淀橋","https://suumo.jp/chintai/jnc_000048208509/?bc=100151998406",124000,5000,124000,124000,"東京都中野区中央１","東京メトロ丸ノ内線/中野坂上駅 歩4分","都営大江戸線/西新宿五丁目駅 歩10分","ＪＲ中央線/東中野駅 歩15分","2DK","洋6.4 洋6 DK6.2",43.87,35,3,"東","鉄骨鉄筋",35.6969435866378,139.686437622708,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、脱衣所、エレベーター、洗面化粧台、2口コンロ、駐輪場、CATV、光ファイバー、外壁タイル張り、オートバス、全居室洋室、振分、敷金1ヶ月、二人入居相談、玄関ホール、保証金不要、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、駅徒歩10分以内、都市ガス、洗面所にドア、玄関収納、礼金1ヶ月、初期費用カード決済可",0,129000,381.688121712059,1,1,0,0,0,0,1,1
"2","メゾン淀橋","https://suumo.jp/chintai/jnc_000048208508/?bc=100151998407",124000,5000,124000,124000,"東京都中野区中央１","東京メトロ丸ノ内線/中野坂上駅 歩4分","都営大江戸線/西新宿五丁目駅 歩10分","ＪＲ中央線/東中野駅 歩15分","1LDK","洋6.4 LDK12.2",42.75,35,3,"東","鉄骨鉄筋",35.6969435866378,139.686437622708,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、脱衣所、エレベーター、CATV、光ファイバー、外壁タイル張り、敷金1ヶ月、二人入居相談、全居室フローリング、玄関ホール、保証金不要、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、駅徒歩10分以内、LDK12畳以上、都市ガス、南面バルコニー、玄関収納、礼金1ヶ月、初期費用カード決済可",0,129000,381.688121712059,1,0,0,0,0,0,0,0
"3","メゾン淀橋","https://suumo.jp/chintai/jnc_000047946110/?bc=100151017101",125000,5000,125000,125000,"東京都中野区中央１","東京メトロ丸ノ内線/中野坂上駅 歩4分","東京メトロ丸ノ内線/西新宿駅 歩7分","ＪＲ中央線/東中野駅 歩15分","2DK","洋6.4 洋6 DK6.2",42.75,35,4,"西","鉄骨鉄筋",35.6969408090277,139.686431789997,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、フローリング、TVインターホン、室内洗濯置、シューズボックス、追焚機能浴室、角住戸、脱衣所、エレベーター、2口コンロ、駐輪場、押入、CATV、光ファイバー、外壁タイル張り、2面採光、照明付、オートバス、全居室洋室、保証人不要、CATVインターネット、二人入居相談、南西角住戸、全居室フローリング、ガスレンジ付、ネット専用回線、南面リビング、始発駅、3駅以上利用可、駅徒歩5分以内、駅徒歩10分以内、敷地内ごみ置き場、都市ガス、L字型バルコニー、南面バルコニー、玄関収納、年内入居可、初期費用カード決済可",0,130000,381.171475997097,1,1,0,0,0,0,1,0
"4","アビオン中野坂上Ａ棟 223号室","https://suumo.jp/chintai/jnc_000030395778/?bc=100151804632",131000,0,131000,131000,"東京都中野区中央２","都営大江戸線/中野坂上駅 歩6分","ＪＲ中央線/東中野駅 歩11分","東京メトロ丸ノ内線/新中野駅 歩17分","1LDK","洋5.3 LDK8.9",37,15,2,"北西","鉄筋コン",35.7000441878666,139.681056303016,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、駐輪場、CATV、光ファイバー、即入居可、2面採光、3口以上コンロ、防犯カメラ、照明付、全居室収納、分譲賃貸、オートバス、グリル付、全居室洋室、敷金1ヶ月、全居室フローリング、2沿線利用可、エアコン全室、24時間換気システム、2駅利用可、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、24時間ゴミ出し可、敷地内ごみ置き場、オープンキッチン、都市ガス、洗面所にドア、玄関収納、年内入居可、礼金1ヶ月、初期費用カード決済可",0,131000,347.112632457313,1,1,0,1,0,1,0,1
"5","アビオン中野坂上","https://suumo.jp/chintai/jnc_000048141175/?bc=100151744413",131000,0,131000,131000,"東京都中野区中央２","東京メトロ丸ノ内線/中野坂上駅 歩6分","ＪＲ総武線/東中野駅 歩13分","都営大江戸線/西新宿五丁目駅 歩19分","1LDK","洋5.3 LDK8.9",37,15,2,"西","鉄筋コン",35.7000441878666,139.681056303016,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、駐輪場、CATV、光ファイバー、外壁タイル張り、閑静な住宅地、BS・CS、3口以上コンロ、防犯カメラ、オートバス、グリル付、振分、敷金1ヶ月、全居室フローリング、ガスレンジ付、玄関ホール、ディンプルキー、駅まで平坦、内装リフォーム済、エアコン全室、保証金不要、内階段、複層ガラス、始発駅、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、24時間ゴミ出し可、敷地内ごみ置き場、都市ガス、洗面所にドア、礼金1ヶ月、初期費用カード決済可",0,131000,347.112632457313,1,0,0,1,0,1,0,1
"6","アビオン中野坂上","https://suumo.jp/chintai/jnc_000048155749/?bc=100151718238",142000,0,142000,142000,"東京都中野区中央２","東京メトロ丸ノ内線/中野坂上駅 歩6分","ＪＲ中央線/東中野駅 歩13分","東京メトロ丸ノ内線/中野新橋駅 歩18分","2DK","洋4.5 洋3.8 LDK8.3",42.3,15,1,"南","鉄筋コン",35.7000441878666,139.681056303016,"バストイレ別、バルコニー、エアコン、クロゼット、フローリング、浴室乾燥機、オートロック、シューズボックス、システムキッチン、南向き、追焚機能浴室、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、BS・CS、3口以上コンロ、オートバス、デザイナーズ、敷地内ごみ置き場、都市ガス",0,142000,347.112632457313,1,0,1,1,0,1,0,1
"7","アビオン中野坂上","https://suumo.jp/chintai/jnc_000048155750/?bc=100151714303",146000,0,146000,146000,"東京都中野区中央２","東京メトロ丸ノ内線/中野坂上駅 歩6分","ＪＲ中央線/東中野駅 歩13分","東京メトロ丸ノ内線/中野新橋駅 歩18分","2DK","洋5.2 洋4 LDK7.2",42.3,15,3,"南西","鉄筋コン",35.7000441878666,139.681056303016,"バストイレ別、バルコニー、エアコン、クロゼット、フローリング、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、BS・CS、3口以上コンロ、オートバス、デザイナーズ、敷地内ごみ置き場、都市ガス",0,146000,347.112632457313,1,0,1,1,0,1,0,1
"8","アルファポート中野坂上","https://suumo.jp/chintai/jnc_000048141174/?bc=100151785434",129000,0,129000,129000,"東京都中野区中央２","東京メトロ丸ノ内線/中野坂上駅 歩7分","ＪＲ中央線/東中野駅 歩13分","都営大江戸線/西新宿五丁目駅 歩19分","1LDK","洋6.3 LDK8.5",35.56,18,1,"西","鉄筋コン",35.700181134548,139.681684297807,"バストイレ別、クロゼット、フローリング、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、脱衣所、洗面所独立、駐輪場、CATV、光ファイバー、照明付、出窓、オートバス、エアコン2台、床下収納、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、都市ガス",0,129000,349.276382558719,1,0,1,1,0,0,0,1
"9","アビオン中野坂上B","https://suumo.jp/chintai/jnc_000048141176/?bc=100151814072",142000,0,142000,142000,"東京都中野区中央２","東京メトロ丸ノ内線/中野坂上駅 歩5分","ＪＲ中央線/東中野駅 歩11分","都営大江戸線/西新宿五丁目駅 歩18分","2LDK","洋4.5 洋3.8 DK8.3",42.3,15,1,"南西","鉄筋コン",35.7000441878666,139.681056303016,"バストイレ別、バルコニー、エアコン、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、脱衣所、エレベーター、洗面所独立、洗面化粧台、駐輪場、3口以上コンロ、敷金1ヶ月、全居室フローリング、専用庭、キッチンに窓、エアコン3台、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、敷地内ごみ置き場、南西向き、洗面所にドア、礼金1ヶ月",0,142000,347.112632457313,1,0,0,1,0,1,0,0
"10","アビオン中野坂上B棟","https://suumo.jp/chintai/jnc_000048141177/?bc=100151820778",146000,0,146000,146000,"東京都中野区中央２","東京メトロ丸ノ内線/中野坂上駅 歩5分","ＪＲ中央線/東中野駅 歩11分","東京メトロ丸ノ内線/西新宿駅 歩18分","2DK","DK7.2",42.3,15,3,"南西","鉄筋コン",35.700054186411,139.681046303489,"バストイレ別、バルコニー、ガスコンロ対応、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、駐輪場、CATV、光ファイバー、外壁タイル張り、BS・CS、3口以上コンロ、防犯カメラ、照明付、全居室洋室、敷金1ヶ月、二人入居相談、全居室フローリング、デザイナーズ、2沿線利用可、ネット専用回線、保証金不要、24時間換気システム、エアコン3台、クロゼット2ヶ所、3駅以上利用可、駅徒歩5分以内、24時間ゴミ出し可、敷地内ごみ置き場、南西向き、都市ガス、洗面所にドア、室内物干機、高速ネット対応、礼金1ヶ月、初期費用カード決済可",0,146000,348.44512958605,1,0,0,1,0,1,0,1
